observed_at,campaign_id,platform,channel_name,channel_url,subscribers_or_followers,views_28d,watch_time_hours_28d,returning_viewers_28d,organic_or_paid,notes
2026-07-16T11:40:22-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,13,1.0,,organic,"First available channel baseline. Studio reported +1 subscriber over the last 28 days; returning-viewer data unavailable. Realtime showed 15 views across the film and Short in the last 48 hours."
2026-07-16T11:40:22-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Current follower count; no pre-launch snapshot, so movement cannot be attributed. Campaign Reel produced 0 follows and 0 profile activity."
2026-07-16T11:40:22-04:00,ambient-seasons-001,TikTok,verse_vids,https://www.tiktok.com/@verse_vids,1,,,,organic,"Current follower count; no pre-launch snapshot, so movement cannot be attributed. TikTok Studio reported 148 account video views and 0 profile views over the last 7 days."
2026-07-16T11:40:22-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,381,,,,organic,"Current follower count; no pre-launch snapshot, so movement cannot be attributed."
2026-07-18T11:38:15-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,19,1.1,,organic,"Later checkpoint observation. Latest processed 28-day totals were 19 views and 1.1 watch hours with +1 subscriber; live count remained 1. Realtime showed 5 views in the prior 48 hours: 4 on the day-two Short and 1 on the full film. Returning-viewer data was unavailable."
2026-07-19T11:37:31-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,,,,organic,"Current live subscriber count remained 1. Asset-level analytics showed one long-film realtime view and one summer-Short realtime view in the prior 48 hours; returning-viewer and current processed 28-day totals were not collected in this run."
2026-07-19T11:37:31-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Follower count remained 1. The snowy Reel produced 0 profile activity and 0 follows in its first roughly 18 hours."
2026-07-19T11:37:31-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,381,,,,organic,"Follower count remained 381; no movement from the first available campaign baseline."
2026-07-21T11:40:44-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,21,1.1,,organic,"Seven-day snapshot. Current subscribers remained 1 (+1 in the last 28 days); channel summary showed 21 views and 1.1 watch hours in the last 28 days. Returning-viewer data was unavailable."
2026-07-21T11:40:44-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Follower count remained 1. All three campaign Reels showed 0 profile activity and 0 follows."
2026-07-21T11:40:44-04:00,ambient-seasons-001,TikTok,verse_vids,https://www.tiktok.com/@verse_vids,1,,,,organic,"Follower count remained 1; public profile showed 50 total likes. No campaign-attributable follower movement was visible."
2026-07-21T11:40:44-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,381,,,,organic,"Follower count remained 381; no movement from the first available campaign baseline."
