observed_at,campaign_id,platform,content_id,url,format,published_at,organic_or_paid,impressions,views,watch_time_hours,average_view_duration_seconds,average_percentage_viewed,click_through_rate_pct,likes,comments,shares,saves,subscribers_or_follows_gained,traffic_source_notes,notes
2026-07-15T15:35:29-04:00,ambient-seasons-001,YouTube,wnSPzx93-UU,https://youtu.be/wnSPzx93-UU,long-form,2026-07-15T15:33:00-04:00,organic,,0,,,,,0,1,,,,,"Launch baseline; public page verified at 26:20 with approved packaging. HD processing and copyright scan still running. Launch comment posted but not pinned because YouTube advanced-features verification is required."
2026-07-16T11:40:22-04:00,ambient-seasons-001,YouTube,wnSPzx93-UU,https://youtu.be/wnSPzx93-UU,long-form,2026-07-15T15:33:00-04:00,organic,22,6,0.9,541,,22.7,0,1,,,,"Browse features 33.3%; YouTube search 33.3%; channel pages 16.7%; external 16.7%. Impressions funnel (17 processed impressions): 17.7% CTR, 3 views, 17:35 average view duration, 0.88 watch hours. Device watch time: TV 97.5%, computer 2.4%, mobile 0.1%.","24-hour snapshot. Direct video analytics reported 6 realtime/lifetime views, 9:01 average view duration, and no retention curve yet. Channel overview's processed subset reported 4 views, 13:25 average view duration, and 51.0% viewed; retained here as a processing-lag note rather than replacing direct video metrics. Likes 0; the one comment is Verse Studio's launch comment."
2026-07-16T11:40:22-04:00,ambient-seasons-001,YouTube,G40Zqib4exI,https://www.youtube.com/shorts/G40Zqib4exI,short-form,,organic,,9,0.1,126,504.3,,0,0,,,,"Shorts feed 55.6%; channel pages 22.2%; other YouTube features 22.2%; search 0%.","24-hour snapshot. 4 engaged views; 100% stayed to watch and 0% swiped away in the available small sample. Average view duration 2:06 on a 24-second Short indicates repeat viewing/looping. Audience-retention curve not yet processed; no subscriber change shown."
2026-07-16T11:40:22-04:00,ambient-seasons-001,Instagram,Da0_55tBs3r,https://www.instagram.com/verse.videos/reel/Da0_55tBs3r/,short-form,,organic,,109,,,,,3,0,0,2,0,,"24-hour snapshot. Reached 98 accounts; 100% of views and interactions came from non-followers. 5 interactions from 3 engaged accounts. Profile activity 0 and follows 0. Watch/retention and link-click metrics were not exposed in the desktop Reel insights panel."
2026-07-16T11:40:22-04:00,ambient-seasons-001,TikTok,7662865678336150802,https://www.tiktok.com/@verse_vids/video/7662865678336150802,short-form,2026-07-15T17:12:00-04:00,organic,,96,,,,,4,0,0,,,"TikTok Studio 7-day account traffic source: For You 100%; Following/Profile/Search/Sound 0%.","24-hour snapshot. Post list reported 96 views, 4 likes, and 0 comments. TikTok Studio's 7-day account overview reported 148 video views, 0 profile views, 4 likes, 0 comments, and 0 shares; post-level retention, saves, follows, and clicks were not exposed."
2026-07-16T11:40:22-04:00,ambient-seasons-001,X,2077496794011877591,https://x.com/verse_vids/status/2077496794011877591,short-form,2026-07-15T16:53:00-04:00,organic,,25,,,,,1,0,2,0,,,"24-hour snapshot. Public post showed 25 video views, 2 reposts, 1 like, 0 replies, and 0 bookmarks. Link clicks and deeper post analytics were unavailable without X Premium."
2026-07-17T11:38:12-04:00,ambient-seasons-001,YouTube,wnSPzx93-UU,https://youtu.be/wnSPzx93-UU,long-form,2026-07-15T15:33:00-04:00,organic,,6,0.9,,,,0,1,,,,Browse features 33.3%; YouTube search 33.3%; channel pages 16.7%; external 16.7%.,"Later 24-hour checkpoint observation. Totals were unchanged from the 2026-07-16 snapshot: 6 views, 0.9 watch hours, no subscriber change, and no processed audience-retention report. Realtime also showed 6 views in the last 48 hours; the sole comment remains Verse Studio's launch comment."
2026-07-17T11:38:12-04:00,ambient-seasons-001,YouTube,G40Zqib4exI,https://www.youtube.com/shorts/G40Zqib4exI,short-form,2026-07-15,organic,,9,,,,,,0,,,,Shorts feed 55.6%; channel pages 22.2%; other YouTube features 22.2%; YouTube search 0%.,"Later checkpoint observation. View total remained 9, with no subscriber change and no processed audience-retention report."
2026-07-17T11:38:12-04:00,ambient-seasons-001,YouTube,rm_ATRZYTGw,https://www.youtube.com/shorts/rm_ATRZYTGw,short-form,2026-07-16,organic,,3,,,,,,0,,,,YouTube search 100%; Shorts feed 0%; other YouTube features 0%.,"First recorded snapshot for the day-two green-hillside Short. It had 3 views, no subscriber change, and no processed audience-retention report."
2026-07-17T11:38:12-04:00,ambient-seasons-001,Instagram,Da0_55tBs3r,https://www.instagram.com/verse.videos/reel/Da0_55tBs3r/,short-form,2026-07-15,organic,,,,,,,3,0,,,,,"Later checkpoint observation. Public Reel showed 3 likes and no comments. Current views, reach, retention, saves, profile activity, follows, and clicks were not exposed in the authenticated desktop view."
2026-07-17T11:38:12-04:00,ambient-seasons-001,Instagram,Da3C-jiBmo_,https://www.instagram.com/verse.videos/reel/Da3C-jiBmo_/,short-form,2026-07-16,organic,,,,,,,3,0,,,,,"First recorded snapshot for the day-two autumn-village Reel. Public Reel showed 3 likes and no comments. Views, reach, retention, saves, profile activity, follows, and clicks were not exposed in the authenticated desktop view."
2026-07-17T11:38:12-04:00,ambient-seasons-001,TikTok,7662865678336150802,https://www.tiktok.com/@verse_vids/video/7662865678336150802,short-form,2026-07-15T17:12:00-04:00,organic,,,,,,,,0,0,,,,"Authenticated post page loaded, but current view, like, retention, favorite, profile, follow, and click totals were not exposed in the desktop DOM. No comments or shares were visible."
2026-07-17T11:38:12-04:00,ambient-seasons-001,TikTok,7663160747505077512,https://www.tiktok.com/@verse_vids/video/7663160747505077512,short-form,2026-07-16,organic,,,,,,,,,,,,,"First recorded snapshot for the day-two autumn-village TikTok. The authenticated post page loaded, but post-level performance fields were not exposed in the desktop DOM."
2026-07-17T11:38:12-04:00,ambient-seasons-001,X,2077496794011877591,https://x.com/verse_vids/status/2077496794011877591,short-form,2026-07-15T16:53:00-04:00,organic,,,,,,,,,,,,,"Later checkpoint attempted; the post remained in a loading state, so no newer total replaces the earlier 25-view observation."
2026-07-17T11:38:12-04:00,ambient-seasons-001,X,2077788569079365769,https://x.com/verse_vids/status/2077788569079365769,short-form,2026-07-16T12:12:00-04:00,organic,,8,,,,,2,0,1,0,,,"First recorded snapshot for the day-two autumn-village post. Public post showed 8 views, 1 repost, 2 likes, 0 replies, and 0 bookmarks; deeper link-click analytics were unavailable."
2026-07-18T11:38:15-04:00,ambient-seasons-001,YouTube,wnSPzx93-UU,https://youtu.be/wnSPzx93-UU,long-form,2026-07-15T15:33:00-04:00,organic,49,7,0.9,466,,12.2,0,1,,,,"Realtime: 1 view in the last 48 hours, from YouTube search; 3 unique viewers lifetime.","Later 24-hour checkpoint observation, roughly 68 hours after publication. Impressions increased from 22 to 49 and views from 6 to 7; watch time remained 0.9 hours. Average view duration was 7:46. No subscriber gain was shown. Audience-retention detail was not exposed in the visible Studio summary."
2026-07-18T11:38:15-04:00,ambient-seasons-001,Instagram,Da0_55tBs3r,https://www.instagram.com/verse.videos/reel/Da0_55tBs3r/,short-form,2026-07-15,organic,,109,,,,,3,0,0,2,0,"100% of views and interactions from non-followers.","Authenticated Reel insights were unchanged: 98 accounts reached, 5 interactions from 3 engaged accounts, 3 likes, 2 saves, 0 comments, 0 shares, 0 profile activity, and 0 follows. Watch/retention and click metrics were not exposed."
2026-07-18T11:38:15-04:00,ambient-seasons-001,X,2077496794011877591,https://x.com/verse_vids/status/2077496794011877591,short-form,2026-07-15T16:53:00-04:00,organic,,27,,,,,1,0,2,0,,,"Authenticated public post showed 27 video views, 2 reposts, 1 like, 0 replies, and 0 bookmarks. Deeper analytics and link clicks remained unavailable without X Premium."
